geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.808267852295586, 144.97441898920937","{""coordinates"": [[[[144.975198146175, -37.808437648678], [144.975144512253, -37.808432608039], [144.974723647944, -37.808387453211], [144.974687185842, -37.808383541294], [144.974652539617, -37.808381845956], [144.973316444568, -37.808233785181], [144.97334316458, -37.808062790524], [144.97429279714, -37.80816887989], [144.974294800907, -37.80816902829], [144.974296810866, -37.808169052156], [144.974298814185, -37.808168934876], [144.974300795167, -37.808168677369], [144.974302738294, -37.808168281654], [144.974304628341, -37.80816775083], [144.974306450501, -37.808167089057], [144.974308190497, -37.808166301518], [144.974309834698, -37.808165394384], [144.974311370221, -37.808164374761], [144.974312785038, -37.808163250639], [144.974314068063, -37.808162030825], [144.974315209244, -37.808160724874], [144.97431619964, -37.808159343019], [144.974317031493, -37.808157896086], [144.974317698285, -37.808156395411], [144.974318194791, -37.808154852751], [144.974318498575, -37.808153278347], [144.974330447456, -37.8080776867], [144.97438480747, -37.808083578292], [144.974372150522, -37.808160185108], [144.974371975732, -37.808161735815], [144.974371990191, -37.80816329447], [144.974372174262, -37.808164847385], [144.97437252657, -37.808166382948], [144.974373044478, -37.808167889673], [144.974373724115, -37.808169356293], [144.974374560397, -37.80817077184], [144.97437554707, -37.808172125726], [144.974376676755, -37.808173407827], [144.974377941003, -37.808174608555], [144.97437933036, -37.808175718929], [144.974380834435, -37.808176730645], [144.97438244198, -37.808177636138], [144.974384140972, -37.808178428635], [144.974385918705, -37.808179102209], [144.974387761885, -37.808179651824], [144.974389656726, -37.808180073368], [144.974391586308, -37.808180379608], [144.975442398484, -37.808294622867], [144.975593657912, -37.808484120556], [144.975198146175, -37.808437648678]]]], ""type"": ""MultiPolygon""}",,,,21560,,,Years 8 - 10,,,Victoria Parade between Nicholson Street and Gisborne Street
"-37.81315212829789, 144.98707248377713","{""coordinates"": [[[[144.988188437703, -37.813369169165], [144.987548722829, -37.81329822267], [144.987514941366, -37.813292318439], [144.986379138861, -37.813164297864], [144.986320747311, -37.813158234681], [144.98592566357, -37.813113804681], [144.985952302841, -37.812934888731], [144.98646735548, -37.812992924182], [144.986513315983, -37.81299833405], [144.988219207825, -37.813190620614], [144.988188437703, -37.813369169165]]]], ""type"": ""MultiPolygon""}",,,,21883,,,Complete,,,Gipps Street between Simpson Street and Powlett Street
"-37.82786150085424, 144.90880977603595","{""coordinates"": [[[[144.911258511737, -37.826513627864], [144.911198412615, -37.826620080856], [144.911122338065, -37.826719940078], [144.911035389548, -37.826814003975], [144.9109382467, -37.826901537294], [144.910831668837, -37.82698185583], [144.910712531886, -37.827050011132], [144.909639385041, -37.827455926018], [144.907309821156, -37.828959031262], [144.907145823119, -37.829068856853], [144.906987119527, -37.829183471676], [144.906833932573, -37.829302715283], [144.906594874502, -37.829036337206], [144.907472947391, -37.828469800418], [144.907666800436, -37.828344723281], [144.909435657433, -37.827203393796], [144.911258511737, -37.826513627864]]]], ""type"": ""MultiPolygon""}",,,,22170,,,Years 8 - 10,,,Wharf Road from Todd Road
"-37.83562624666633, 144.9754319510135","{""coordinates"": [[[[144.975460609092, -37.835418111701], [144.975476365319, -37.835441154443], [144.975573399536, -37.835584808971], [144.975675120139, -37.835726409723], [144.975781458092, -37.835865860563], [144.975860932809, -37.835965011456], [144.975942744278, -37.836062959671], [144.976026863582, -37.836159670574], [144.976101837549, -37.836242724909], [144.976178347102, -37.83632489375], [144.976256375622, -37.836406159243], [144.975511401684, -37.836146890978], [144.975456219726, -37.836014912891], [144.975388370806, -37.835886702245], [144.97530825898, -37.835763022439], [144.975262590031, -37.835697879194], [144.975217862346, -37.835632326472], [144.975174081759, -37.835566372826], [144.9750617803, -37.835396679553], [144.974956789748, -37.835224067259], [144.97485923051, -37.835048733985], [144.974843139615, -37.835019177431], [144.974826385496, -37.83498985359], [144.974808973504, -37.834960771821], [144.975120401349, -37.834840774424], [144.975224198786, -37.835036719415], [144.975337660201, -37.835229265059], [144.975460609092, -37.835418111701]]]], ""type"": ""MultiPolygon""}",,,,22470,,,Not determined by precinct plan,,,St Kilda Road between Bromby Street and Toorak Road
"-37.81047209653111, 144.9684347767159","{""coordinates"": [[[[144.968069717805, -37.810722578704], [144.968056430071, -37.810726474998], [144.96741692912, -37.810914000538], [144.967304695614, -37.810661361153], [144.967495848806, -37.810605048836], [144.967569480107, -37.810584236415], [144.968762760799, -37.810231600615], [144.968827128006, -37.810212578639], [144.969443572501, -37.810030394519], [144.969562770743, -37.810284740831], [144.969295782009, -37.810363036956], [144.969264001176, -37.810372357664], [144.968930441922, -37.810470174266], [144.968909065342, -37.810476442716], [144.968069717805, -37.810722578704]]]], ""type"": ""MultiPolygon""}",,,,20003,,,Years 8 - 10,,,Lonsdale Street between Exhibition Street and Russell Street
"-37.824638040525, 144.94452079371806","{""coordinates"": [[[[144.944453050695, -37.824884256375], [144.944473009976, -37.824768095045], [144.944474154535, -37.824758093765], [144.94447398945, -37.824748039609], [144.944472818789, -37.824738013296], [144.944467118471, -37.824708702833], [144.944463938317, -37.824679202383], [144.944464054512, -37.824649615588], [144.944467877818, -37.824620221378], [144.944477523413, -37.824593369133], [144.944490000569, -37.824567261098], [144.944505219679, -37.824542084765], [144.944508620266, -37.824532799248], [144.944510660616, -37.824523249975], [144.94451161391, -37.824513587129], [144.944511472491, -37.824503888309], [144.944510237497, -37.824494231402], [144.944507918844, -37.824484693958], [144.944504535152, -37.824475352568], [144.944500113595, -37.82446628225], [144.94449468968, -37.824457555843], [144.944488306965, -37.824449243426], [144.944481016706, -37.824441411751], [144.944472877448, -37.824434123713], [144.944463954555, -37.824427437837], [144.944454319682, -37.824421407815], [144.944444050203, -37.824416082073], [144.944433402735, -37.824411209978], [144.944602112382, -37.824429514943], [144.944522291785, -37.824891752708], [144.944453050695, -37.824884256375]]]], ""type"": ""MultiPolygon""}",,,,22950,,,Complete,,,Ferryman Lane from Lorimer Street
"-37.80801948431479, 144.9723059145333","{""coordinates"": [[[[144.971693544267, -37.808053627785], [144.971599698801, -37.807847340266], [144.971578387937, -37.807798529454], [144.971801316314, -37.807869234957], [144.97299392135, -37.80799873887], [144.973010003535, -37.807981680643], [144.972967334828, -37.808195144453], [144.97296610048, -37.808195007854], [144.972932029483, -37.808191223069], [144.971750726489, -37.808059981043], [144.971747752746, -37.808059762348], [144.971744770014, -37.808059722027], [144.971741795996, -37.808059885128], [144.971738852663, -37.808060250445], [144.97173596176, -37.80806081528], [144.971733144646, -37.808061575459], [144.971730422134, -37.808062525365], [144.971727814336, -37.808063657983], [144.971725340521, -37.808064964942], [144.971723018963, -37.808066436589], [144.971720866815, -37.808068062049], [144.971718899978, -37.808069829315], [144.971717132981, -37.808071725329], [144.971715578879, -37.808073736085], [144.971714249155, -37.808075846725], [144.971713153632, -37.808078041659], [144.971712300403, -37.808080304668], [144.971711695773, -37.808082619034], [144.971711344209, -37.808084967658], [144.971711248307, -37.808087333189], [144.971711408776, -37.80808969815], [144.971711824432, -37.80809204507], [144.971712492202, -37.808094356608], [144.971713319223, -37.808096640978], [144.971693544267, -37.808053627785]]]], ""type"": ""MultiPolygon""}",,,,21596,,,Years 8 - 10,,,Victoria Parade between Nicholson Street and Spring Street
"-37.7945397740984, 144.9269700337022","{""coordinates"": [[[[144.926424942442, -37.794973366856], [144.926284946993, -37.794820301332], [144.926521120861, -37.794684280517], [144.926547694246, -37.794674066777], [144.92718466709, -37.794303892515], [144.927213732291, -37.794287405254], [144.927525514417, -37.794104485909], [144.927527379009, -37.794087747883], [144.927537055418, -37.794097714826], [144.927653091147, -37.794252010025], [144.926424942442, -37.794973366856]]]], ""type"": ""MultiPolygon""}",,,,21686,,,Years 8 - 10,,,Kensington Road between MacAulay Road and Derby Street
"-37.797942688079964, 144.95125299053092","{""coordinates"": [[[[144.950930628684, -37.798056910416], [144.951152104053, -37.797884168417], [144.951176850568, -37.797864448648], [144.951399100465, -37.797692035053], [144.951423993032, -37.797672655712], [144.9517507118, -37.797418288915], [144.951909368847, -37.797548574671], [144.950594810884, -37.798576013631], [144.950629566429, -37.798371807255], [144.950873400513, -37.7981820631], [144.950873894531, -37.798181680917], [144.950874319657, -37.798181248941], [144.95087469543, -37.798180788888], [144.95087501899, -37.79818030426], [144.950875287873, -37.798179798746], [144.950875500032, -37.798179276195], [144.950875653854, -37.798178740583], [144.950875748166, -37.798178195988], [144.950875782252, -37.798177646554], [144.950875755851, -37.798177096465], [144.950875669165, -37.798176549907], [144.950875522853, -37.798176011042], [144.950875318029, -37.798175483969], [144.950875056252, -37.798174972703], [144.950874739515, -37.798174481133], [144.950874370229, -37.798174013003], [144.950873951205, -37.798173571875], [144.950873508457, -37.798173143333], [144.950828384736, -37.79813665626], [144.950930628684, -37.798056910416]]]], ""type"": ""MultiPolygon""}",,,,21190,,,Complete,,,Murphy Street between Flemington Road and Errol Street
"-37.81130782547588, 144.97548452964855","{""coordinates"": [[[[144.975662648438, -37.810870145808], [144.975505168939, -37.811769522918], [144.975307487877, -37.811755119736], [144.975284762624, -37.811752632841], [144.975286777631, -37.811752729975], [144.975288794118, -37.811752702843], [144.975290799045, -37.811752539885], [144.975292777927, -37.811752242278], [144.975294716468, -37.811751812171], [144.975296600665, -37.811751252672], [144.975298416904, -37.811750567823], [144.975300152066, -37.811749762571], [144.975301793614, -37.811748842734], [144.97530332969, -37.811747814957], [144.975304749196, -37.811746686664], [144.975306041879, -37.811745466007], [144.975307198399, -37.811744161804], [144.975308210401, -37.811742783478], [144.975309070574, -37.811741340984], [144.975309772705, -37.811739844745], [144.97531031172, -37.81173830557], [144.975310659607, -37.811736731668], [144.975456919708, -37.810888715633], [144.975457099125, -37.810887140088], [144.975457084317, -37.810885556319], [144.975456895258, -37.810883978521], [144.975456533394, -37.810882418756], [144.97545600149, -37.810880888947], [144.975455303614, -37.810879400791], [144.9754544451, -37.810877965662], [144.975453432512, -37.810876594533], [144.97545227359, -37.810875297885], [144.975450977194, -37.810874085631], [144.975449553235, -37.810872967039], [144.975448012599, -37.810871950659], [144.975446367063, -37.810871044262], [144.975444629206, -37.810870254777], [144.975442812316, -37.81086958824], [144.97544093028, -37.810869049745], [144.975438997488, -37.810868643409], [144.975437028714, -37.81086837234], [144.97543503901, -37.810868238608], [144.975433043585, -37.810868243237], [144.975431057696, -37.810868386191], [144.975429096523, -37.810868666377], [144.975427175059, -37.810869081653], [144.975425307993, -37.810869628845], [144.975423509599, -37.810870303769], [144.975421793624, -37.810871101266], [144.975420173187, -37.810872015239], [144.975418660677, -37.810873038702], [144.975417267654, -37.810874163829], [144.97541607469, -37.810875423909], [144.975434398283, -37.810844927681], [144.975662648438, -37.810870145808]]]], ""type"": ""MultiPolygon""}",,,,21852,,,Years 1 - 4,,,Parliament Place between St Andrews Place and Gisborne Street
"-37.80705888188535, 144.96659764863352","{""coordinates"": [[[[144.966003940796, -37.807136028446], [144.966051916415, -37.806860419212], [144.966610935183, -37.806920345774], [144.966674687301, -37.80692717991], [144.966851774952, -37.806946163213], [144.966864839536, -37.806947563918], [144.967198755744, -37.806983357779], [144.96713639163, -37.807256952822], [144.966003940796, -37.807136028446]]]], ""type"": ""MultiPolygon""}",,,,21603,,,Years 5 - 7,,,Victoria Street between Drummond Street and Lygon Street
"-37.827891124126076, 144.9553713995265","{""coordinates"": [[[[144.955579478058, -37.828254057342], [144.955411746003, -37.828218308957], [144.955244344183, -37.828181599904], [144.955077281346, -37.828143932103], [144.955087178907, -37.828115823457], [144.955097248479, -37.828087753274], [144.955107489825, -37.828059722216], [144.955610321478, -37.828171110977], [144.955641257525, -37.828201670741], [144.955579478058, -37.828254057342]]], [[[144.955518725792, -37.827721940267], [144.955536915258, -37.827759492599], [144.955550375824, -37.827788780159], [144.955228639667, -37.827763886018], [144.955248406627, -37.827721283029], [144.955383218422, -37.827431051305], [144.955518725792, -37.827721940267]]]], ""type"": ""MultiPolygon""}",,,,22012,,,Years 8 - 10,,,Cecil Street between Whiteman Street and Haig Street
"-37.79413461676501, 144.94045333217053","{""coordinates"": [[[[144.940519430624, -37.794356038458], [144.940312673486, -37.794332958087], [144.940385577626, -37.793922556409], [144.940375920171, -37.793912376355], [144.940593905708, -37.793936791139], [144.940605150212, -37.793938036739], [144.940592320177, -37.793945712985], [144.940584903412, -37.793987464512], [144.940519430624, -37.794356038458]]]], ""type"": ""MultiPolygon""}",,,,23121,,,Years 8 - 10,,,Buncle Street between Caytre Crescent and Mark Street
